DatasetName,DataType,PPCFState,SolutionName,CompetingTime,TotalTaskSize,TotalWorkerSize,TotalUnServedTaskSize,TotalAllocatedWorkerSize,TotalUtility,TotalWinnerUtility,TotalFailureUtility,RealTravelDistance,ProposalSize,TaskValue,WorkerRange
ChengduDiDi,0,false,UtilityConflictPrivacySolution,8848,1286,2572,0,1286,5452.132092963136,5454.276092963136,-2.144,5947.259070368637,2147483647,5.0,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,5730,1286,2572,0,1286,5452.8467624256255,5454.294762425626,-1.4480000000000004,5945.15237574374,2147483647,5.0,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,6047,1286,2572,0,1286,5273.605647321342,5294.745647321342,-21.14,5673.8635267866175,2147483647,5.0,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,5826,1286,2572,0,1286,5305.041947967884,5311.233947967884,-6.192,5678.140520321193,2147483647,5.0,30.0
ChengduDiDi,0,false,GamePrivacySolution,2343,1286,2572,0,1286,5582.98043692724,5754.362436927239,-171.3819999999999,4699.162634779783,0,5.0,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,1121,1286,2572,0,1286,6034.374031208731,6034.374031208731,0.0,3956.259687912799,2147483647,5.0,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,834,1286,2572,0,1286,6034.374031208731,6034.374031208731,0.0,3956.259687912799,2147483647,5.0,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,517,1286,2572,0,1286,6059.0094387027475,6059.0094387027475,0.0,3709.9056129725436,0,5.0,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,11,1286,2572,0,1286,6065.942997652091,6065.942997652091,0.0,3640.5700234790065,0,5.0,30.0
ChengduDiDi,0,false,UtilityConflictPrivacySolution,6613,1286,2572,0,1286,11882.132092963124,11884.276092963124,-2.144,5947.259070368637,2147483647,10.0,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,5318,1286,2572,0,1286,11882.846762425615,11884.294762425616,-1.4480000000000004,5945.15237574374,2147483647,10.0,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,5162,1286,2572,0,1286,11703.605647321348,11724.745647321348,-21.140000000000008,5673.8635267866175,2147483647,10.0,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,5430,1286,2572,0,1286,11735.041947967893,11741.233947967892,-6.191999999999998,5678.140520321193,2147483647,10.0,30.0
ChengduDiDi,0,false,GamePrivacySolution,2330,1286,2572,0,1286,12013.631854050724,12187.533854050724,-173.902,4701.2660418487885,0,10.0,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,904,1286,2572,0,1286,12464.37403120871,12464.37403120871,0.0,3956.259687912799,2147483647,10.0,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,788,1286,2572,0,1286,12464.37403120871,12464.37403120871,0.0,3956.259687912799,2147483647,10.0,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,587,1286,2572,0,1286,12487.533258137486,12487.533258137486,0.0,3724.6674186252562,0,10.0,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,6,1286,2572,0,1286,12495.94299765211,12495.94299765211,0.0,3640.5700234790065,0,10.0,30.0
ChengduDiDi,0,false,UtilityConflictPrivacySolution,6139,1286,2572,0,1286,18312.13209296313,18314.27609296313,-2.144,5947.259070368637,2147483647,15.0,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,5423,1286,2572,0,1286,18312.84676242562,18314.29476242562,-1.4480000000000004,5945.15237574374,2147483647,15.0,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,5831,1286,2572,0,1286,18133.605647321354,18154.745647321353,-21.140000000000008,5673.8635267866175,2147483647,15.0,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,4565,1286,2572,0,1286,18165.041947967897,18171.233947967896,-6.191999999999998,5678.140520321193,2147483647,15.0,30.0
ChengduDiDi,0,false,GamePrivacySolution,1510,1286,2572,0,1286,18443.631854050713,18617.533854050715,-173.90200000000004,4701.2660418487885,0,15.0,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,808,1286,2572,0,1286,18894.37403120873,18894.37403120873,0.0,3956.259687912799,2147483647,15.0,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,779,1286,2572,0,1286,18894.37403120873,18894.37403120873,0.0,3956.259687912799,2147483647,15.0,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,413,1286,2572,0,1286,18917.533258137482,18917.533258137482,0.0,3724.6674186252562,0,15.0,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,3,1286,2572,0,1286,18925.942997652102,18925.942997652102,0.0,3640.5700234790065,0,15.0,30.0
ChengduDiDi,0,false,UtilityConflictPrivacySolution,5954,1286,2572,0,1286,24742.13209296316,24744.27609296316,-2.144000000000002,5947.259070368637,2147483647,20.0,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,5490,1286,2572,0,1286,24742.846762425645,24744.294762425645,-1.4480000000000004,5945.15237574374,2147483647,20.0,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,6094,1286,2572,0,1286,24563.605647321343,24584.745647321342,-21.140000000000004,5673.8635267866175,2147483647,20.0,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,5493,1286,2572,0,1286,24595.041947967875,24601.233947967874,-6.192000000000007,5678.140520321193,2147483647,20.0,30.0
ChengduDiDi,0,false,GamePrivacySolution,2324,1286,2572,0,1286,24873.631854050742,25047.533854050744,-173.9020000000001,4701.2660418487885,0,20.0,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,827,1286,2572,0,1286,25324.37403120872,25324.37403120872,0.0,3956.259687912799,2147483647,20.0,30.0
